"1234554321","314 W Louisiana Ave","Ruston","Will","Caster"
"2345678901","55 Main St","Seattle","Mia","Brown"
"3456789012","123 Oak St","Portland","Jack","Johnson"
"4567890123","789 Elm St","San Francisco","Olivia","Davis"
"5678901234","456 Pine St","Los Angeles","Ethan","Garcia"
"6789012345","890 Maple Ave","San Diego","Avery","Lee"
"7890123456","321 Cedar St","Denver","Logan","Taylor"
"8901234567","456 Spruce St","Chicago","Maddie","Allen"
"9012345678","789 Birch St","New York","Eli","Robinson"
"3456789123","12 Oakwood Dr","Atlanta","Nora","Baker"
